country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
CHL,Chile,2005,16182721.0,1.04200958151135,24.66476434958,8.43398956207674,122965,6.2,8.0,3.3,6.6,80.579,74.534,,,18.0,0.2,8.3,3.9,2.3,1.0
CHL,Chile,2010,17062536.0,1.03892916043728,22.0817643989147,9.36204911157404,218538,5.8,8.4,4.2,6.8,81.661,75.745,83.6,8.1,16.0,0.4,7.7,4.2,2.0,1.0
CHL,Chile,2019,18729160.0,1.39101054110467,19.7539024707995,11.5298016568816,277081,1.5,7.1,5.4,8.5,82.381,77.552,,,18.0,0.5,7.2,,,1.1
CMR,Cameroon,2005,17733410.0,2.70980276705716,44.178891707799,3.01168810736345,17944,2.0,4.4,2.9,4.1,53.889,51.625,,,311.0,4.8,92.2,20.3,,0.1
CMR,Cameroon,2010,20341241.0,2.74777349120564,43.6907266375734,2.84361214736112,26144,3.4,4.1,3.0,4.5,56.312,53.889,30.6,59.8,260.0,4.5,80.5,11.5,1.3,0.1
CMR,Cameroon,2019,25216237.0,2.61229075104427,42.6315798448676,2.72887735524057,34924,3.5,4.2,3.1,4.7,60.192,57.656,,,186.0,3.6,70.7,,,0.1
CHN,China,2005,1303720000.0,0.588124989556992,20.3534495404855,7.48247072133937,2285960,11.4,4.1,,4.1,74.845,71.297,,,91.0,,27.1,15.5,2.45,1.1
CHN,China,2010,1337705000.0,0.482959688678361,18.6599572797731,8.07445323617687,6100648,10.6,4.2,,4.2,76.566,72.476,87.0,5.0,76.0,,18.1,12.0,3.56,1.5
CHN,China,2019,1392730000.0,0.455899678672578,17.8770027525543,10.9208835350654,12237782,6.9,4.8,,5.0,79.051,74.549,,,61.0,,12.3,,,1.8
COL,Colombia,2005,42647723.0,1.34974470871339,30.3210584067994,5.83607476535148,146566,4.7,11.9,4.0,5.5,77.43,71.085,,,30.0,0.4,19.5,9.7,,1.5
COL,Colombia,2010,45222700.0,1.05065217370834,27.2685222244581,6.58641788305431,287018,4.0,10.9,4.8,6.3,78.405,72.422,70.6,10.7,32.0,0.4,16.9,11.1,,1.6
COL,Colombia,2019,49648685.0,1.51727089084319,23.077895979964,8.47804701986958,309191,1.8,9.2,4.4,5.9,79.859,74.33,,,33.0,0.4,14.4,,,2.1
CRI,Costa Rica,2005,4285502.0,1.41817515199521,27.4360856674434,6.35398140054537,19952,3.9,6.6,4.9,6.7,80.494,75.794,,,16.0,0.2,10.9,5.4,,1.3
CRI,Costa Rica,2010,4577378.0,1.2450647850515,24.3076057952828,7.30153812947063,37269,5.0,8.9,6.6,8.1,81.236,76.367,81.8,6.6,13.0,0.3,10.0,5.2,1.2,
CRI,Costa Rica,2019,4999441.0,0.99478225758881,21.3247441063911,9.54984767296984,57565,3.2,7.9,7.4,7.6,82.73,77.539,,,10.0,0.4,9.3,,,1.1
CUB,Cuba,2005,11261582.0,0.0996537609855515,19.201050083372,10.8683753312812,42644,11.2,2.0,10.6,8.8,79.661,75.766,,,7.9,0.1,6.1,2.5,4.9,6.3
CUB,Cuba,2010,11225832.0,-0.00781203339475694,17.7410814628261,12.5405493330027,64328,2.4,2.5,12.8,10.7,80.346,76.368,85.1,7.1,8.5,0.2,5.3,2.5,5.9,6.8
CUB,Cuba,2019,11338138.0,-0.00988649624040443,16.2112389922363,15.1862114171521,96851,1.8,2.6,,12.2,80.706,76.763,,,7.2,0.4,4.8,,,8.2
CPV,Cabo Verde,2005,463032.0,1.39512010535105,37.6386513243145,5.67261010038183,1105,6.5,11.2,7.5,4.3,73.968,66.472,,,79.0,0.6,24.5,14.0,2.1,
CPV,Cabo Verde,2010,492654.0,1.2218771985813,32.3137536689035,5.32523840261116,1664,1.5,10.7,5.6,4.5,74.588,67.268,67.3,22.8,90.0,0.6,22.9,15.3,2.1,0.6
CPV,Cabo Verde,2019,543767.0,1.15976676910969,28.7777669479759,4.60932715666821,1773,4.0,10.4,5.2,5.3,76.007,69.316,,,46.0,0.6,20.6,,,0.8
CUW,Curaçao,2005,137658.0,2.55007380740239,21.5545992469069,12.0348881887343,2345,,18.2,,,,,,,,,14.7,,,
CUW,Curaçao,2010,148703.0,1.26551415533004,20.7095554721433,13.043594830822,2951,0.1,9.6,,,,,,,3.9,,13.0,,,
CUW,Curaçao,2019,159800.0,-0.234393419291099,18.8839461266221,16.6848948092804,3122,-1.7,13.0,4.9,,,,,,6.4,,10.3,,,
CYP,Cyprus,2005,1027662.0,1.69321095149567,19.997431061964,10.7656992279563,18967,4.9,5.3,6.2,5.3,80.748,76.535,,,3.8,,5.6,5.7,3.8,
CYP,Cyprus,2010,1112612.0,1.31444719324219,17.836586339173,11.4175471772729,25561,1.3,6.3,6.6,6.3,81.634,77.243,90.8,3.7,6.3,,4.3,4.3,3.5,2.2
CYP,Cyprus,2019,1189265.0,0.809225398288843,16.787847956511,13.7190617734483,22054,4.2,9.9,6.4,6.9,82.913,78.735,,,5.4,,4.2,,,2
CZE,Czechia,2005,10211216.0,0.138325980046718,14.7316669732517,14.0434835970208,136281,6.5,7.9,3.9,6.4,79.1,72.9,,,11.0,0.1,4.0,2.5,7.6,
CZE,Czechia,2010,10474410.0,0.29136167418042,14.2414695253214,15.4402621435279,207478,2.3,7.3,4.1,6.9,80.6,74.4,90.1,4.6,6.8,0.1,3.1,2.5,7.0,3.6
CZE,Czechia,2019,10629928.0,0.334427262299794,15.5866055197434,19.4208768932343,215825,4.3,2.0,5.8,7.1,82.0,76.1,,,5.4,0.1,2.5,,,4.3
DEU,Germany,2005,82469422.0,-0.0567782618352031,14.4166321570007,18.8683245333634,2861339,0.7,11.2,,10.2,81.8,76.2,,,8.0,0.1,4.2,2.5,8.5,
DEU,Germany,2010,81776930.0,-0.153198446937304,13.5683827540702,20.5527504286253,3417095,4.1,7.0,4.9,11.0,82.6,77.5,91.6,4.6,5.8,0.1,3.7,2.5,8.2,3.8
DEU,Germany,2019,82905782.0,0.300526701992065,13.6210301045356,21.4619619953309,3693204,2.2,3.6,4.8,11.1,83.4,78.7,,,7.3,0.1,3.4,,,4.2
DJI,Djibouti,2005,783254.0,1.49868676966306,37.8750699006963,3.30110028164555,674,3.2,6.4,8.4,4.5,59.449,56.565,,,496.0,2.1,68.1,32.2,1.6,0.2
DJI,Djibouti,2010,840198.0,1.48382149291687,32.5638718492546,3.82397958576431,1015,3.5,6.2,4.5,4.3,61.611,58.612,36.3,53.6,621.0,1.6,63.4,22.3,1.4,0.2
DJI,Djibouti,2019,958920.0,1.5578736070438,29.5741159613441,4.52757937811482,1845,4.1,5.8,,3.5,68.778,64.629,,,260.0,1.2,55.7,,,0.2
DNK,Denmark,2005,5419432.0,0.275481733409308,18.7279566453486,15.1526955926386,264467,2.3,4.8,8.1,9.1,80.2,75.6,,,8.4,0.1,4.5,2.5,3.9,3.2
DNK,Denmark,2010,5547683.0,0.444197154509531,17.9497210002657,16.6677047996307,321995,1.9,7.5,8.6,10.3,81.2,77.1,89.8,6.6,6.9,0.1,3.7,2.5,3.5,3.6
DNK,Denmark,2019,5793636.0,0.495838925879129,16.4582625623987,19.8129526369902,329866,2.3,5.3,7.6,10.4,83.4,79.4,,,5.4,0.1,3.5,,,4.5
DMA,Dominica,2005,70589.0,0.293677634088247,,,370,-0.3,11.0,,5.2,,,,,12.0,,,5.7,3.9,1.8
DMA,Dominica,2010,70878.0,0.0381008831313621,,,494,1.2,,,5.6,,,,,13.0,,,5.2,3.8,
DMA,Dominica,2019,71625.0,0.233431051672096,,,497,-9.5,,3.4,5.3,,,,,6.4,,,,,1.1
DOM,Dominican Republic (the),2005,9097257.0,1.35919569180063,32.9561646988757,5.38361178539861,35510,9.3,6.5,1.8,4.4,73.951,67.859,,,69.0,1.4,34.9,24.4,2.0,1.8
DOM,Dominican Republic (the),2010,9695121.0,1.22858407412758,30.6103554561103,5.85176812130555,53160,8.3,5.0,2.0,5.6,75.264,69.087,65.5,21.4,51.0,1.2,29.5,16.5,1.6,1.1
DOM,Dominican Republic (the),2019,10627165.0,1.07884114802307,27.9771295026574,7.08281747649721,75932,4.6,5.5,,6.2,77.196,70.805,,,45.0,0.9,27.5,,,1.6
DZA,Algeria,2005,33149724.0,1.38990052346238,29.1927468234728,4.9194617728944,103198,5.9,15.3,,3.2,74.409,71.784,,,80.0,0.1,33.6,8.8,,1.0
DZA,Algeria,2010,35977455.0,1.80501869558372,27.2827802855983,5.45620583779481,161207,3.6,10.0,4.3,5.1,76.152,73.766,72.6,16.8,78.0,0.1,29.4,6.3,,1.2
DZA,Algeria,2019,42228429.0,2.00737383000812,30.1486785862257,6.36249654497986,167555,1.4,9.9,,6.6,77.938,75.494,,,69.0,0.1,24.9,,,1.8
ECU,Ecuador,2005,13825847.0,1.67356421225984,33.1344618524999,5.39441815029488,41507,5.3,7.7,1.2,5.6,77.14,71.225,,,40.0,0.4,23.6,17.0,,1.5
ECU,Ecuador,2010,15011117.0,1.58934821711931,31.0372705775326,5.99569638954916,69555,3.5,4.1,4.5,7.1,78.036,72.266,66.6,17.1,40.0,0.4,19.1,10.7,1.6,2.1
ECU,Ecuador,2019,17084357.0,1.76561120074764,28.0285920021109,7.15728972666108,104296,3.0,4.2,5.0,8.4,79.645,74.058,,,44.0,0.4,15.1,,,2.0
EST,Estonia,2005,1354775.0,-0.572255524659659,15.1567368520442,16.7550868662072,14003,9.6,8.0,4.8,5.0,78.1,67.3,,,41.0,0.7,7.3,4.2,5.4,4.4
EST,Estonia,2010,1331475.0,-0.22805796852935,15.1331618248166,17.5240466000701,19503,2.3,16.7,5.5,6.3,80.5,70.6,92.1,2.0,25.0,0.7,4.7,2.6,5.2,3.2
EST,Estonia,2019,1321977.0,0.348039137980543,16.3570737459559,19.6263568469749,25921,4.9,5.5,5.2,6.7,83.0,74.3,,,13.0,0.9,3.2,,,3.5
